date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2014.01.17,"1,292,000","9,000","1,301,000","1,315,000","1,292,000","255,485",삼성전자
2014.01.16,"1,301,000","2,000","1,300,000","1,310,000","1,293,000","195,049",삼성전자
2014.01.15,"1,299,000","14,000","1,330,000","1,331,000","1,298,000","234,949",삼성전자
2014.01.14,"1,313,000","18,000","1,297,000","1,330,000","1,290,000","294,333",삼성전자
2014.01.13,"1,295,000","23,000","1,283,000","1,297,000","1,273,000","328,987",삼성전자
2014.01.10,"1,272,000","3,000","1,275,000","1,286,000","1,272,000","363,783",삼성전자
2014.01.09,"1,275,000","16,000","1,307,000","1,307,000","1,275,000","425,019",삼성전자
2014.01.08,"1,291,000","13,000","1,300,000","1,304,000","1,287,000","409,493",삼성전자
2014.01.07,"1,304,000","3,000","1,300,000","1,318,000","1,295,000","395,264",삼성전자
2014.01.06,"1,307,000","11,000","1,303,000","1,320,000","1,296,000","394,716",삼성전자
2014.01.03,"1,296,000","13,000","1,300,000","1,311,000","1,287,000","529,932",삼성전자
2014.01.02,"1,309,000","63,000","1,348,000","1,355,000","1,302,000","620,500",삼성전자
2013.12.30,"1,372,000","24,000","1,396,000","1,397,000","1,360,000","338,162",삼성전자
2013.12.27,"1,396,000","12,000","1,410,000","1,411,000","1,395,000","210,200",삼성전자
2013.12.26,"1,408,000","7,000","1,408,000","1,415,000","1,401,000","246,156",삼성전자
2013.12.24,"1,415,000","18,000","1,430,000","1,432,000","1,415,000","219,607",삼성전자
2013.12.23,"1,433,000","6,000","1,437,000","1,438,000","1,429,000","212,784",삼성전자
2013.12.20,"1,427,000",0,"1,413,000","1,427,000","1,413,000","168,148",삼성전자
2013.12.19,"1,427,000","26,000","1,418,000","1,434,000","1,418,000","211,048",삼성전자
2013.12.18,"1,401,000","6,000","1,405,000","1,410,000","1,394,000","217,984",삼성전자
2013.12.17,"1,395,000","5,000","1,417,000","1,417,000","1,393,000","155,248",삼성전자
2013.12.16,"1,400,000","10,000","1,391,000","1,404,000","1,383,000","179,088",삼성전자
2013.12.13,"1,390,000","20,000","1,410,000","1,411,000","1,390,000","201,065",삼성전자
2013.12.12,"1,410,000","10,000","1,396,000","1,410,000","1,396,000","299,241",삼성전자
2013.12.11,"1,420,000","20,000","1,426,000","1,444,000","1,416,000","212,583",삼성전자
